attribute,method,precision,recall,iou
ultra-short,Vidi2,69.76%,82.48%,59.09%
ultra-short,Gemini-3-Pro-Prev,68.56%,75.22%,56.72%
ultra-short,GPT-5,63.84%,48.19%,41.08%
short,Vidi2,65.38%,66.05%,49.01%
short,Gemini-3-Pro-Prev,61.83%,74.93%,49.40%
short,GPT-5,41.64%,38.91%,26.52%
medium,Vidi2,63.42%,67.91%,51.05%
medium,Gemini-3-Pro-Prev,50.48%,63.69%,40.56%
medium,GPT-5,20.51%,21.50%,11.28%
long,Vidi2,60.54%,62.56%,48.15%
long,Gemini-3-Pro-Prev,36.73%,39.36%,26.20%
long,GPT-5,20.21%,16.05%,9.39%
ultra-long,Vidi2,54.55%,50.98%,38.65%
ultra-long,Gemini-3-Pro-Prev,32.18%,30.11%,21.19%
ultra-long,GPT-5,21.49%,22.27%,12.49%
keyword,Vidi2,63.21%,63.72%,47.73%
keyword,Gemini-3-Pro-Prev,52.43%,56.00%,38.41%
keyword,GPT-5,41.07%,32.59%,23.17%
phrase,Vidi2,63.80%,67.06%,50.11%
phrase,Gemini-3-Pro-Prev,48.94%,57.40%,37.84%
phrase,GPT-5,29.18%,25.88%,17.02%
sentence,Vidi2,60.59%,63.75%,48.17%
sentence,Gemini-3-Pro-Prev,45.51%,55.46%,36.73%
sentence,GPT-5,22.26%,23.04%,12.92%
vision,Vidi2,63.12%,66.94%,51.04%
vision,Gemini-3-Pro-Prev,52.16%,54.76%,39.54%
vision,GPT-5,35.78%,26.85%,20.62%
audio,Vidi2,57.51%,67.09%,46.90%
audio,Gemini-3-Pro-Prev,39.42%,58.26%,33.27%
audio,GPT-5,12.16%,23.21%,6.93%
vision+audio,Vidi2,64.03%,61.38%,46.81%
vision+audio,Gemini-3-Pro-Prev,48.66%,57.26%,37.26%
vision+audio,GPT-5,30.17%,28.04%,17.85%
overall,Vidi2,62.45%,64.93%,48.75%
overall,Gemini-3-Pro-Prev,48.61%,56.30%,37.58%
overall,GPT-5,29.64%,26.63%,17.15%
